,id,gender,nobelPrizes,knownName.en,knownName.se,givenName.en,givenName.se,familyName.en,familyName.se,fullName.en,fullName.se,birth.date,birth.place.city.en,birth.place.city.no,birth.place.city.se,birth.place.country.en,birth.place.country.no,birth.place.country.se,birth.place.cityNow.en,birth.place.cityNow.no,birth.place.cityNow.se,birth.place.countryNow.en,birth.place.countryNow.no,birth.place.countryNow.se,birth.place.continent.en,birth.place.locationString.en,birth.place.locationString.no,birth.place.locationString.se,links.rel,links.href,links.action,links.types,death.date,death.place.city.en,death.place.city.no,death.place.city.se,death.place.country.en,death.place.country.no,death.place.country.se,death.place.cityNow.en,death.place.cityNow.no,death.place.cityNow.se,death.place.countryNow.en,death.place.countryNow.no,death.place.countryNow.se,death.place.continent.en,death.place.locationString.en,death.place.locationString.no,death.place.locationString.se,nativeName,acronym,orgName.en,orgName.se,founded.date,founded.place.city.en,founded.place.city.no,founded.place.city.se,founded.place.country.en,founded.place.country.no,founded.place.country.se,founded.place.cityNow.en,founded.place.cityNow.no,founded.place.cityNow.se,founded.place.countryNow.en,founded.place.countryNow.no,founded.place.countryNow.se,founded.place.continent.en,founded.place.locationString.en,founded.place.locationString.no,founded.place.locationString.se,penName,orgName.no,knownName.no,givenName.no,familyName.no,fullName.no
0,745,male,"[{'awardYear': '2001', 'category': {'en': 'Economic Sciences', 'no': 'Økonomi', 'se': 'Ekonomi'}, 'categoryFullName': {'en': 'The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel', 'no': 'Sveriges Riksbanks pris i økonomisk vitenskap til minne om Alfred Nobel', 'se': 'Sveriges Riksbanks pris i ekonomisk vetenskap till Alfred Nobels minne'}, 'sortOrder': '2', 'portion': '1/3', 'dateAwarded': '2001-10-10', 'prizeStatus': 'received', 'motivation': {'en': 'for their analyses of markets with asymmetric information', 'se': 'för deras analys av marknader med assymetrisk informations'}, 'prizeAmount': 10000000, 'prizeAmountAdjusted': 12295082, 'affiliations': [{'name': {'en': 'Stanford University', 'no': 'Stanford University', 'se': 'Stanford University'}, 'nameNow': {'en': 'Stanford University'}, 'city': {'en': 'Stanford, CA', 'no': 'Stanford, CA', 'se': 'Stanford, CA'}, 'country': {'en': 'USA', 'no': 'USA', 'se': 'USA'}, 'cityNow': {'en': 'Stanford, CA', 'no': 'Stanford, CA', 'se': 'Stanford, CA'}, 'countryNow': {'en': 'USA', 'no': 'USA', 'se': 'USA'}, 'locationString': {'en': 'Stanford, CA, USA', 'no': 'Stanford, CA, USA', 'se': 'Stanford, CA, USA'}}], 'links': {'rel': 'nobelPrize', 'href': 'https://masterdataapi.nobelprize.org/2/nobelPrize/eco/2001', 'action': 'Get', 'types': 'application/json'}}]",A. Michael Spence,A. Michael Spence,A. Michael,A. Michael,Spence,Spence,A. Michael Spence,A. Michael Spence,1943-00-00,"Montclair, NJ","Montclair, NJ","Montclair, NJ",USA,USA,USA,"Montclair, NJ","Montclair, NJ","Montclair, NJ",USA,USA,USA,North America,"Montclair, NJ, USA","Montclair, NJ, USA","Montclair, NJ, USA",laureate,http://masterdataapi.nobelprize.org/2/laureate/745,Get,application/json,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,102,male,"[{'awardYear': '1975', 'category': {'en': 'Physics', 'no': 'Fysikk', 'se': 'Fysik'}, 'categoryFullName': {'en': 'The Nobel Prize in Physics', 'no': 'Nobelprisen i fysikk', 'se': 'Nobelpriset i fysik'}, 'sortOrder': '1', 'portion': '1/3', 'dateAwarded': '1975-10-17', 'prizeStatus': 'received', 'motivation': {'en': 'for the discovery of the connection between collective motion and particle motion in atomic nuclei and the development of the theory of the structure of the atomic nucleus based on this connection', 'se': 'för upptäckten av sambandet mellan kollektiva rörelser och partikelrörelser i atomkärnor, samt den därpå baserade utvecklingen av teorien för atomkärnans struktur'}, 'prizeAmount': 630000, 'prizeAmountAdjusted': 3404179, 'affiliations': [{'name': {'en': 'Niels Bohr Institute', 'no': 'Niels Bohr Institute', 'se': 'Niels Bohr Institute'}, 'nameNow': {'en': 'Niels Bohr Institute'}, 'city': {'en': 'Copenhagen', 'no': 'København', 'se': 'Köpenhamn'}, 'country': {'en': 'Denmark', 'no': 'Danmark', 'se': 'Danmark'}, 'cityNow': {'en': 'Copenhagen', 'no': 'København', 'se': 'Köpenhamn'}, 'countryNow': {'en': 'Denmark', 'no': 'Danmark', 'se': 'Danmark'}, 'locationString': {'en': 'Copenhagen, Denmark', 'no': 'København, Danmark', 'se': 'Köpenhamn, Danmark'}}], 'links': {'rel': 'nobelPrize', 'href': 'https://masterdataapi.nobelprize.org/2/nobelPrize/phy/1975', 'action': 'Get', 'types': 'application/json'}}]",Aage N. Bohr,Aage N. Bohr,Aage N.,Aage N.,Bohr,Bohr,Aage Niels Bohr,Aage Niels Bohr,1922-06-19,Copenhagen,København,Köpenhamn,Denmark,Danmark,Danmark,Copenhagen,København,Köpenhamn,Denmark,Danmark,Danmark,Europe,"Copenhagen, Denmark","København, Danmark","Köpenhamn, Danmark",laureate,http://masterdataapi.nobelprize.org/2/laureate/102,Get,application/json,2009-09-08,Copenhagen,København,Köpenhamn,Denmark,Danmark,Danmark,Copenhagen,København,Köpenhamn,Denmark,Danmark,Danmark,Europe,"Copenhagen, Denmark","København, Danmark","Köpenhamn, Danmark",,,,,,,,,,,,,,,,,,,,,,,,,,,
2,779,male,"[{'awardYear': '2004', 'category': {'en': 'Chemistry', 'no': 'Kjemi', 'se': 'Kemi'}, 'categoryFullName': {'en': 'The Nobel Prize in Chemistry', 'no': 'Nobelprisen i kjemi', 'se': 'Nobelpriset i kemi'}, 'sortOrder': '1', 'portion': '1/3', 'dateAwarded': '2004-10-06', 'prizeStatus': 'received', 'motivation': {'en': 'for the discovery of ubiquitin-mediated protein degradation', 'se': 'för upptäckten av ubiquitinmedierad proteinnedbrytning'}, 'prizeAmount': 10000000, 'prizeAmountAdjusted': 11762861, 'affiliations': [{'name': {'en': 'Technion - Israel Institute of Technology', 'no': 'Technion - Israel Institute of Technology', 'se': 'Technion - Israel Institute of Technology'}, 'nameNow': {'en': 'Technion - Israel Institute of Technology'}, 'city': {'en': 'Haifa', 'no': 'Haifa', 'se': 'Haifa'}, 'country': {'en': 'Israel', 'no': 'Israel', 'se': 'Israel'}, 'cityNow': {'en': 'Haifa', 'no': 'Haifa', 'se': 'Haifa'}, 'countryNow': {'en': 'Israel', 'no': 'Israel', 'se': 'Israel'}, 'locationString': {'en': 'Haifa, Israel', 'no': 'Haifa, Israel', 'se': 'Haifa, Israel'}}], 'links': {'rel': 'nobelPrize', 'href': 'https://masterdataapi.nobelprize.org/2/nobelPrize/che/2004', 'action': 'Get', 'types': 'application/json'}}]",Aaron Ciechanover,Aaron Ciechanover,Aaron,Aaron,Ciechanover,Ciechanover,Aaron Ciechanover,Aaron Ciechanover,1947-10-01,Haifa,Haifa,Haifa,British Protectorate of Palestine,British i Palestina,British Protectorate of Palestine,Haifa,Haifa,Haifa,Israel,Israel,Israel,Asia,"Haifa, British Protectorate of Palestine (now Israel)","Haifa, British i Palestina (nå Israel)","Haifa, British Protectorate of Palestine (nu Israel)",laureate,http://masterdataapi.nobelprize.org/2/laureate/779,Get,application/json,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,259,male,"[{'awardYear': '1982', 'category': {'en': 'Chemistry', 'no': 'Kjemi', 'se': 'Kemi'}, 'categoryFullName': {'en': 'The Nobel Prize in Chemistry', 'no': 'Nobelprisen i kjemi', 'se': 'Nobelpriset i kemi'}, 'sortOrder': '1', 'portion': '1', 'dateAwarded': '1982-10-18', 'prizeStatus': 'received', 'motivation': {'en': 'for his development of crystallographic electron microscopy and his structural elucidation of biologically important nucleic acid-protein complexes', 'se': 'för hans utveckling av kristallografisk elektronmikroskopi och hans klarläggande av strukturen hos biologiskt viktiga nukleinsyra-proteinkomplex'}, 'prizeAmount': 1150000, 'prizeAmountAdjusted': 3102518, 'affiliations': [{'name': {'en': 'MRC Laboratory of Molecular Biology', 'no': 'MRC Laboratory of Molecular Biology', 'se': 'MRC Laboratory of Molecular Biology'}, 'nameNow': {'en': 'MRC Laboratory of Molecular Biology'}, 'city': {'en': 'Cambridge', 'no': 'Cambridge', 'se': 'Cambridge'}, 'country': {'en': 'United Kingdom', 'no': 'Storbritannia', 'se': 'Storbritannien'}, 'cityNow': {'en': 'Cambridge', 'no': 'Cambridge', 'se': 'Cambridge'}, 'countryNow': {'en': 'United Kingdom', 'no': 'Storbritannia', 'se': 'Storbritannien'}, 'locationString': {'en': 'Cambridge, United Kingdom', 'no': 'Cambridge, Storbritannia', 'se': 'Cambridge, Storbritannien'}}], 'links': {'rel': 'nobelPrize', 'href': 'https://masterdataapi.nobelprize.org/2/nobelPrize/che/1982', 'action': 'Get', 'types': 'application/json'}}]",Aaron Klug,Aaron Klug,Aaron,Aaron,Klug,Klug,Aaron Klug,Aaron Klug,1926-08-11,Zelvas,Zelvas,Zelvas,Lithuania,Litauen,Litauen,Zelvas,Zelvas,Zelvas,Lithuania,Litauen,Litauen,Europe,"Zelvas, Lithuania","Zelvas, Litauen","Zelvas, Litauen",laureate,http://masterdataapi.nobelprize.org/2/laureate/259,Get,application/json,2018-11-20,,,,,,,,,,,,,,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,114,male,"[{'awardYear': '1979', 'category': {'en': 'Physics', 'no': 'Fysikk', 'se': 'Fysik'}, 'categoryFullName': {'en': 'The Nobel Prize in Physics', 'no': 'Nobelprisen i fysikk', 'se': 'Nobelpriset i fysik'}, 'sortOrder': '2', 'portion': '1/3', 'dateAwarded': '1979-10-15', 'prizeStatus': 'received', 'motivation': {'en': 'for their contributions to the theory of the unified weak and electromagnetic interaction between elementary particles, including, inter alia, the prediction of the weak neutral current', 'se': 'för deras insatser inom teorin för förenad svag och elektromagnetisk växelverkan mellan elementar partiklar, innefattande bl.a. förutsägelsen av den svaga neutrala strömmen'}, 'prizeAmount': 800000, 'prizeAmountAdjusted': 2988048, 'affiliations': [{'name': {'en': 'International Centre for Theoretical Physics', 'no': 'International Centre for Theoretical Physics', 'se': 'International Centre for Theoretical Physics'}, 'nameNow': {'en': 'International Centre for Theoretical Physics'}, 'city': {'en': 'Trieste', 'no': 'Trieste', 'se': 'Trieste'}, 'country': {'en': 'Italy', 'no': 'Italia', 'se': 'Italien'}, 'cityNow': {'en': 'Trieste', 'no': 'Trieste', 'se': 'Trieste'}, 'countryNow': {'en': 'Italy', 'no': 'Italia', 'se': 'Italien'}, 'locationString': {'en': 'Trieste, Italy', 'no': 'Trieste, Italia', 'se': 'Trieste, Italien'}}, {'name': {'en': 'Imperial College', 'no': 'Imperial College', 'se': 'Imperial College'}, 'nameNow': {'en': 'Imperial College'}, 'city': {'en': 'London', 'no': 'London', 'se': 'London'}, 'country': {'en': 'United Kingdom', 'no': 'Storbritannia', 'se': 'Storbritannien'}, 'cityNow': {'en': 'London', 'no': 'London', 'se': 'London'}, 'countryNow': {'en': 'United Kingdom', 'no': 'Storbritannia', 'se': 'Storbritannien'}, 'locationString': {'en': 'London, United Kingdom', 'no': 'London, Storbritannia', 'se': 'London, Storbritannien'}}], 'links': {'rel': 'nobelPrize', 'href': 'https://masterdataapi.nobelprize.org/2/nobelPrize/phy/1979', 'action': 'Get', 'types': 'application/json'}}]",Abdus Salam,Abdus Salam,Abdus,Abdus,Salam,Salam,Abdus Salam,Abdus Salam,1926-01-29,Jhang Maghiāna,Jhang Maghiāna,Jhang Maghiāna,India,India,Indien,Jhang Maghiāna,Jhang Maghiāna,Jhang Maghiāna,Pakistan,Pakistan,Pakistan,Asia,"Jhang Maghiāna, India (now Pakistan)","Jhang Maghiāna, India (nå Pakistan)","Jhang Maghiāna, Indien (nu Pakistan)",laureate,http://masterdataapi.nobelprize.org/2/laureate/114,Get,application/json,1996-11-21,Oxford,Oxford,Oxford,United Kingdom,Storbritannia,Storbritannien,Oxford,Oxford,Oxford,United Kingdom,Storbritannia,Storbritannien,Europe,"Oxford, United Kingdom","Oxford, Storbritannia","Oxford, Storbritannien",,,,,,,,,,,,,,,,,,,,,,,,,,,
5,982,male,"[{'awardYear': '2019', 'category': {'en': 'Economic Sciences', 'no': 'Økonomi', 'se': 'Ekonomi'}, 'categoryFullName': {'en': 'The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel', 'no': 'Sveriges Riksbanks pris i økonomisk vitenskap til minne om Alfred Nobel', 'se': 'Sveriges Riksbanks pris i ekonomisk vetenskap till Alfred Nobels minne'}, 'sortOrder': '1', 'portion': '1/3', 'dateAwarded': '2019-10-14', 'prizeStatus': 'received', 'motivation': {'en': 'for their experimental approach to alleviating global poverty', 'se': 'för deras experimentella ansats för att mildra global fattigdom'}, 'prizeAmount': 9000000, 'prizeAmountAdjusted': 9000000, 'affiliations': [{'name': {'en': 'Massachusetts Institute of Technology (MIT)', 'no': 'Massachusetts Institute of Technology (MIT)', 'se': 'Massachusetts Institute of Technology (MIT)'}, 'nameNow': {'en': 'Massachusetts Institute of Technology (MIT)'}, 'city': {'en': 'Cambridge, MA', 'no': 'Cambridge, MA', 'se': 'Cambridge, MA'}, 'country': {'en': 'USA', 'no': 'USA', 'se': 'USA'}, 'cityNow': {'en': 'Cambridge, MA', 'no': 'Cambridge, MA', 'se': 'Cambridge, MA'}, 'countryNow': {'en': 'USA', 'no': 'USA', 'se': 'USA'}, 'locationString': {'en': 'Cambridge, MA, USA', 'no': 'Cambridge, MA, USA', 'se': 'Cambridge, MA, USA'}}], 'links': {'rel': 'nobelPrize', 'href': 'https://masterdataapi.nobelprize.org/2/nobelPrize/eco/2019', 'action': 'Get', 'types': 'application/json'}}]",Abhijit Banerjee,Abhijit Banerjee,Abhijit,Abhijit,Banerjee,Banerjee,Abhijit Banerjee,Abhijit Banerjee,1961-02-21,Mumbai,,,India,India,Indien,Mumbai,,,India,India,Indien,Asia,"Mumbai, India",India,Indien,laureate,http://masterdataapi.nobelprize.org/2/laureate/982,Get,application/json,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,981,male,"[{'awardYear': '2019', 'category': {'en': 'Peace', 'no': 'Fred', 'se': 'Fred'}, 'categoryFullName': {'en': 'The Nobel Peace Prize', 'no': 'Nobels fredspris', 'se': 'Nobels fredspris'}, 'sortOrder': '1', 'portion': '1', 'dateAwarded': '2019-10-11', 'prizeStatus': 'received', 'motivation': {'en': 'for his efforts to achieve peace and international cooperation, and in particular for his decisive initiative to resolve the border conflict with neighbouring Eritrea', 'no': 'for hans innsats for fred og mellomstatlig samarbeid, og da særlig for hans avgjørande initiativ for å løsa grensekonflikten med nabolandet Eritrea'}, 'prizeAmount': 9000000, 'prizeAmountAdjusted': 9000000, 'links': {'rel': 'nobelPrize', 'href': 'https://masterdataapi.nobelprize.org/2/nobelPrize/pea/2019', 'action': 'Get', 'types': 'application/json'}}]",Abiy Ahmed Ali,Abiy Ahmed Ali,Abiy,Abiy,Ahmed Ali,Ahmed Ali,Abiy Ahmed Ali,Abiy Ahmed Ali,1976-08-15,Beshasha,Beshasha,Beshasha,Ethiopia,Etiopia,Etiopien,Beshasha,Beshasha,Beshasha,Ethiopia,Etiopia,Etiopien,Africa,"Beshasha, Ethiopia","Beshasha, Etiopia","Beshasha, Etiopien",laureate,http://masterdataapi.nobelprize.org/2/laureate/981,Get,application/json,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,843,female,"[{'awardYear': '2009', 'category': {'en': 'Chemistry', 'no': 'Kjemi', 'se': 'Kemi'}, 'categoryFullName': {'en': 'The Nobel Prize in Chemistry', 'no': 'Nobelprisen i kjemi', 'se': 'Nobelpriset i kemi'}, 'sortOrder': '3', 'portion': '1/3', 'dateAwarded': '2009-10-07', 'prizeStatus': 'received', 'motivation': {'en': 'for studies of the structure and function of the ribosome', 'se': 'för studier av ribosomens struktur och funktion'}, 'prizeAmount': 10000000, 'prizeAmountAdjusted': 10958504, 'affiliations': [{'name': {'en': 'Weizmann Institute of Science', 'no': 'Weizmann Institute of Science', 'se': 'Weizmann Institute of Science'}, 'nameNow': {'en': 'Weizmann Institute of Science'}, 'city': {'en': 'Rehovot', 'no': 'Rehovot', 'se': 'Rehovot'}, 'country': {'en': 'Israel', 'no': 'Israel', 'se': 'Israel'}, 'cityNow': {'en': 'Rehovot', 'no': 'Rehovot', 'se': 'Rehovot'}, 'countryNow': {'en': 'Israel', 'no': 'Israel', 'se': 'Israel'}, 'locationString': {'en': 'Rehovot, Israel', 'no': 'Rehovot, Israel', 'se': 'Rehovot, Israel'}}], 'links': {'rel': 'nobelPrize', 'href': 'https://masterdataapi.nobelprize.org/2/nobelPrize/che/2009', 'action': 'Get', 'types': 'application/json'}}]",Ada E. Yonath,Ada E. Yonath,Ada E.,Ada E.,Yonath,Yonath,Ada E. Yonath,Ada E. Yonath,1939-06-22,Jerusalem,Jerusalem,Jerusalem,British Mandate of Palestine,Palestinamandatet,Brittiska Palestinamandatet,Jerusalem,Jerusalem,Jerusalem,Israel,Israel,Israel,Asia,"Jerusalem, British Mandate of Palestine (now Israel)","Jerusalem, Palestinamandatet (nå Israel)","Jerusalem, Brittiska Palestinamandatet (nu Israel)",laureate,http://masterdataapi.nobelprize.org/2/laureate/843,Get,application/json,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,866,male,"[{'awardYear': '2011', 'category': {'en': 'Physics', 'no': 'Fysikk', 'se': 'Fysik'}, 'categoryFullName': {'en': 'The Nobel Prize in Physics', 'no': 'Nobelprisen i fysikk', 'se': 'Nobelpriset i fysik'}, 'sortOrder': '3', 'portion': '1/4', 'dateAwarded': '2011-10-04', 'prizeStatus': 'received', 'motivation': {'en': 'for the discovery of the accelerating expansion of the Universe through observations of distant supernovae', 'se': 'för upptäckten av universums accelererande expansion genom observationer av avlägsna supernovor'}, 'prizeAmount': 10000000, 'prizeAmountAdjusted': 10545557, 'affiliations': [{'name': {'en': 'Johns Hopkins University', 'no': 'Johns Hopkins University', 'se': 'Johns Hopkins University'}, 'nameNow': {'en': 'Johns Hopkins University'}, 'city': {'en': 'Baltimore, MD', 'no': 'Baltimore, MD', 'se': 'Baltimore, MD'}, 'country': {'en': 'USA', 'no': 'USA', 'se': 'USA'}, 'cityNow': {'en': 'Baltimore, MD', 'no': 'Baltimore, MD', 'se': 'Baltimore, MD'}, 'countryNow': {'en': 'USA', 'no': 'USA', 'se': 'USA'}, 'locationString': {'en': 'Baltimore, MD, USA', 'no': 'Baltimore, MD, USA', 'se': 'Baltimore, MD, USA'}}, {'name': {'en': 'Space Telescope Science Institute', 'no': 'Space Telescope Science Institute', 'se': 'Space Telescope Science Institute'}, 'nameNow': {'en': 'Space Telescope Science Institute'}, 'city': {'en': 'Baltimore, MD', 'no': 'Baltimore, MD', 'se': 'Baltimore, MD'}, 'country': {'en': 'USA', 'no': 'USA', 'se': 'USA'}, 'cityNow': {'en': 'Baltimore, MD', 'no': 'Baltimore, MD', 'se': 'Baltimore, MD'}, 'countryNow': {'en': 'USA', 'no': 'USA', 'se': 'USA'}, 'locationString': {'en': 'Baltimore, MD, USA', 'no': 'Baltimore, MD, USA', 'se': 'Baltimore, MD, USA'}}], 'links': {'rel': 'nobelPrize', 'href': 'https://masterdataapi.nobelprize.org/2/nobelPrize/phy/2011', 'action': 'Get', 'types': 'application/json'}}]",Adam G. Riess,Adam G. Riess,Adam G.,Adam G.,Riess,Riess,Adam G. Riess,Adam G. Riess,1969-12-16,"Washington, DC","Washington, DC","Washington, DC",USA,USA,USA,"Washington, DC","Washington, DC","Washington, DC",USA,USA,USA,North America,"Washington, DC, USA","Washington, DC, USA","Washington, DC, USA",laureate,http://masterdataapi.nobelprize.org/2/laureate/866,Get,application/json,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,199,male,"[{'awardYear': '1939', 'category': {'en': 'Chemistry', 'no': 'Kjemi', 'se': 'Kemi'}, 'categoryFullName': {'en': 'The Nobel Prize in Chemistry', 'no': 'Nobelprisen i kjemi', 'se': 'Nobelpriset i kemi'}, 'sortOrder': '1', 'portion': '1/2', 'prizeStatus': 'received', 'motivation': {'en': 'for his work on sex hormones', 'se': 'för hans arbeten över sexualhormoner'}, 'prizeAmount': 148822, 'prizeAmountAdjusted': 4227898, 'affiliations': [{'name': {'en': 'Kaiser-Wilhelm-Institut (now Max-Planck-Institut) für Biochemie', 'no': 'Kaiser-Wilhelm-Institut (now Max-Planck-Institut) für Biochemie', 'se': 'Kaiser-Wilhelm-Institut (now Max-Planck-Institut) für Biochemie'}, 'nameNow': {'en': 'Kaiser-Wilhelm-Institut (now Max-Planck-Institut) für Biochemie'}, 'city': {'en': 'Berlin-Dahlem', 'no': 'Berlin-Dahlem', 'se': 'Berlin-Dahlem'}, 'country': {'en': 'Germany', 'no': 'Tyskland', 'se': 'Tyskland'}, 'cityNow': {'en': 'Berlin-Dahlem', 'no': 'Berlin-Dahlem', 'se': 'Berlin-Dahlem'}, 'countryNow': {'en': 'Germany', 'no': 'Tyskland', 'se': 'Tyskland'}, 'locationString': {'en': 'Berlin-Dahlem, Germany', 'no': 'Berlin-Dahlem, Tyskland', 'se': 'Berlin-Dahlem, Tyskland'}}, {'name': {'en': 'Berlin University', 'no': 'Berlin University', 'se': 'Berlin University'}, 'nameNow': {'en': 'Berlin University'}, 'city': {'en': 'Berlin', 'no': 'Berlin', 'se': 'Berlin'}, 'country': {'en': 'Germany', 'no': 'Tyskland', 'se': 'Tyskland'}, 'cityNow': {'en': 'Berlin', 'no': 'Berlin', 'se': 'Berlin'}, 'countryNow': {'en': 'Germany', 'no': 'Tyskland', 'se': 'Tyskland'}, 'locationString': {'en': 'Berlin, Germany', 'no': 'Berlin, Tyskland', 'se': 'Berlin, Tyskland'}}], 'links': {'rel': 'nobelPrize', 'href': 'https://masterdataapi.nobelprize.org/2/nobelPrize/che/1939', 'action': 'Get', 'types': 'application/json'}}]",Adolf Butenandt,Adolf Butenandt,Adolf,Adolf,Butenandt,Butenandt,Adolf Friedrich Johann Butenandt,Adolf Friedrich Johann Butenandt,1903-03-24,Bremerhaven-Lehe,Bremerhaven-Lehe,Bremerhaven-Lehe,Germany,Tyskland,Tyskland,Bremerhaven-Lehe,Bremerhaven-Lehe,Bremerhaven-Lehe,Germany,Tyskland,Tyskland,Europe,"Bremerhaven-Lehe, Germany","Bremerhaven-Lehe, Tyskland","Bremerhaven-Lehe, Tyskland",laureate,http://masterdataapi.nobelprize.org/2/laureate/199,Get,application/json,1995-01-18,Munich,München,München,Germany,Tyskland,Tyskland,Munich,München,München,Germany,Tyskland,Tyskland,Europe,"Munich, Germany","München, Tyskland","München, Tyskland",,,,,,,,,,,,,,,,,,,,,,,,,,,
10,164,male,"[{'awardYear': '1905', 'category': {'en': 'Chemistry', 'no': 'Kjemi', 'se': 'Kemi'}, 'categoryFullName': {'en': 'The Nobel Prize in Chemistry', 'no': 'Nobelprisen i kjemi', 'se': 'Nobelpriset i kemi'}, 'sortOrder': '1', 'portion': '1', 'prizeStatus': 'received', 'motivation': {'en': 'in recognition of his services in the advancement of organic chemistry and the chemical industry, through his work on organic dyes and hydroaromatic compounds', 'se': 'såsom ett erkännande av den förtjänst han inlagt om den organiska kemiens och den kemiska industriens utveckling genom sina arbeten rörande organiska färgämnen och hydroaromatiska föreningar'}, 'prizeAmount': 138089, 'prizeAmountAdjusted': 7615202, 'affiliations': [{'name': {'en': 'Munich University', 'no': 'Munich University', 'se': 'Munich University'}, 'nameNow': {'en': 'Munich University'}, 'city': {'en': 'Munich', 'no': 'München', 'se': 'München'}, 'country': {'en': 'Germany', 'no': 'Tyskland', 'se': 'Tyskland'}, 'cityNow': {'en': 'Munich', 'no': 'München', 'se': 'München'}, 'countryNow': {'en': 'Germany', 'no': 'Tyskland', 'se': 'Tyskland'}, 'locationString': {'en': 'Munich, Germany', 'no': 'München, Tyskland', 'se': 'München, Tyskland'}}], 'links': {'rel': 'nobelPrize', 'href': 'https://masterdataapi.nobelprize.org/2/nobelPrize/che/1905', 'action': 'Get', 'types': 'application/json'}}]",Adolf von Baeyer,Adolf von Baeyer,Adolf,Adolf,von Baeyer,von Baeyer,Johann Friedrich Wilhelm Adolf von Baeyer,Johann Friedrich Wilhelm Adolf von Baeyer,1835-10-31,Berlin,Berlin,Berlin,Prussia,Preussen,Preussen,Berlin,Berlin,Berlin,Germany,Tyskland,Tyskland,Europe,"Berlin, Prussia (now Germany)","Berlin, Preussen (nå Tyskland)","Berlin, Preussen (nu Tyskland)",laureate,http://masterdataapi.nobelprize.org/2/laureate/164,Get,application/json,1917-08-20,Starnberg,Starnberg,Starnberg,Germany,Tyskland,Tyskland,Starnberg,Starnberg,Starnberg,Germany,Tyskland,Tyskland,Europe,"Starnberg, Germany","Starnberg, Tyskland","Starnberg, Tyskland",,,,,,,,,,,,,,,,,,,,,,,,,,,
11,185,male,"[{'awardYear': '1928', 'category': {'en': 'Chemistry', 'no': 'Kjemi', 'se': 'Kemi'}, 'categoryFullName': {'en': 'The Nobel Prize in Chemistry', 'no': 'Nobelprisen i kjemi', 'se': 'Nobelpriset i kemi'}, 'sortOrder': '1', 'portion': '1', 'prizeStatus': 'received', 'motivation': {'en': 'for the services rendered through his research into the constitution of the sterols and their connection with the vitamins', 'se': 'för hans förtjänster om utforskandet av sterinernas konstitution och deras samband med vitamingruppen'}, 'prizeAmount': 156939, 'prizeAmountAdjusted': 4458494, 'affiliations': [{'name': {'en': 'Goettingen University', 'no': 'Goettingen University', 'se': 'Goettingen University'}, 'nameNow': {'en': 'Goettingen University'}, 'city': {'en': 'Göttingen', 'no': 'Göttingen', 'se': 'Göttingen'}, 'country': {'en': 'Germany', 'no': 'Tyskland', 'se': 'Tyskland'}, 'cityNow': {'en': 'Göttingen', 'no': 'Göttingen', 'se': 'Göttingen'}, 'countryNow': {'en': 'Germany', 'no': 'Tyskland', 'se': 'Tyskland'}, 'locationString': {'en': 'Göttingen, Germany', 'no': 'Göttingen, Tyskland', 'se': 'Göttingen, Tyskland'}}], 'links': {'rel': 'nobelPrize', 'href': 'https://masterdataapi.nobelprize.org/2/nobelPrize/che/1928', 'action': 'Get', 'types': 'application/json'}}]",Adolf Windaus,Adolf Windaus,Adolf,Adolf,Windaus,Windaus,Adolf Otto Reinhold Windaus,Adolf Otto Reinhold Windaus,1876-12-25,Berlin,Berlin,Berlin,Germany,Tyskland,Tyskland,Berlin,Berlin,Berlin,Germany,Tyskland,Tyskland,Europe,"Berlin, Germany","Berlin, Tyskland","Berlin, Tyskland",laureate,http://masterdataapi.nobelprize.org/2/laureate/185,Get,application/json,1959-06-09,Göttingen,Göttingen,Göttingen,West Germany,Vest-Tyskland,Västtyskland,Göttingen,Göttingen,Göttingen,Germany,Tyskland,Tyskland,Europe,"Göttingen, West Germany (now Germany)","Göttingen, Vest-Tyskland (nå Tyskland)","Göttingen, Västtyskland (nu Tyskland)",,,,,,,,,,,,,,,,,,,,,,,,,,,
